City,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
shahrud,ir,36.42,54.97,16.2,69,0,3.06
savelugu,gh,9.63,-0.83,94.23,31,76,5.86
paralimni,cy,40.99,23.67,39.37,66,0,2.84
irkutsk,ru,52.29,104.28,23,53,0,6.71
bunia,cd,1.56,30.25,69.3,87,36,1.61
santo tomas,pe,15.88,120.59,65.25,91,0,4.29
ulladulla,au,-35.36,150.48,62.6,82,90,11.41
ambatondrazaka,mg,-17.82,48.43,69.25,95,68,1.61
hay river,ca,60.82,-115.79,8.6,78,90,6.93
pangoa,pe,-12.12,-73,73.53,100,44,2.62
qaqortoq,gl,60.72,-46.03,23,79,75,22.3
devonport,au,-41.18,146.36,41.17,86,0,3.74
puerto cabezas,ni,14.04,-83.39,84.2,89,75,13.87
jutai,br,-1.71,-47.89,79.02,98,92,4.07
yabelo,et,4.89,38.09,77.22,43,0,10.45
esso,ru,55.93,158.7,-24.17,31,8,2.28
mikkeli,fi,61.69,27.27,12.2,72,0,4.7
padang,id,-0.92,100.36,81.4,100,56,4.41
red wing,us,44.56,-92.53,18.86,67,90,4.7
khipro,pk,25.83,69.38,61.24,68,0,6.31
westport,nz,53.8,-9.52,50,87,75,13.87
alpena,us,45.06,-83.43,32.04,79,90,10.29
cedral,mx,23.82,-100.72,67.5,44,48,10.45
gordeyevka,ru,52.96,31.97,19.57,70,8,16.04
hirara,jp,24.8,125.28,75.28,95,0,15.59
linxia,cn,35.6,103.21,14.62,57,0,2.17
bambanglipuro,id,-7.95,110.28,70.65,97,0,2.73
korampallam,in,8.77,78.1,77.13,74,0,11.23
cidreira,br,-30.17,-50.22,85.81,60,0,12.8
mutare,zw,-18.97,32.67,72.9,63,76,4.07
praia,cv,-20.25,-43.81,73.4,69,75,6.93
oktyabrskiy,ru,55.61,37.97,19.4,79,75,24.61
chamba,in,32.56,76.12,39.78,87,92,1.95
killarney,ca,-28.34,152.3,67.63,87,48,11.45
maryborough,au,-25.54,152.7,76.27,64,36,7.2
maragogi,br,-9.01,-35.22,84.73,78,48,9.66
shenzhen,cn,22.54,114.05,64.38,88,75,11.41
flinders,au,-34.58,150.85,62.6,82,90,11.41
kenai,us,60.55,-151.26,15.8,100,1,5.82
casablanca,ma,33.6,-7.62,62.56,72,0,4.7
petauke,zm,-14.25,31.33,77.08,68,64,7.87
todos santos,mx,23.45,-110.23,69.24,42,5,12.75
camacha,pt,33.08,-16.33,63.63,72,40,18.34
bezhetsk,ru,57.78,36.69,16.65,79,88,22.53
chauk,mm,20.89,94.82,67.36,78,0,5.41
kerman,ir,30.29,57.06,41,30,0,4.7
fershampenuaz,ru,53.52,59.82,20.97,80,32,17.72
krabi,th,8.06,98.92,78.87,83,20,4.7
krasnoarmeysk,kz,56.12,38.15,18.55,85,90,15.66
tabuk,sa,17.41,121.44,53.28,87,0,1.83
nathdwara,in,24.93,73.82,64.84,74,48,4.18
rafraf,tn,37.19,10.18,48.22,81,20,4.7
ovalle,cl,-30.6,-71.2,70.42,86,68,4.29
kahului,us,20.89,-156.47,72.66,83,40,5.82
buala,sb,-8.15,159.59,76.5,100,56,2.39
alofi,nu,-19.06,-169.92,77,88,56,12.75
grindavik,is,63.84,-22.43,42.91,93,75,21.92
mosquera,co,4.71,-74.23,69.8,40,75,10.29
salinas,ec,36.67,-121.66,49.96,50,40,10.29
mizan teferi,et,6.99,35.58,65.11,84,24,1.95
dehui,cn,44.53,125.71,23,62,0,4.47
rodrigues alves,br,-7.74,-72.65,82.4,83,75,3.36
eirunepe,br,-6.66,-69.87,87.97,70,76,2.95
sidhi,in,24.41,81.88,69.25,78,8,7.2
